method,broken_power_law,damped_osc_pow,delayed_plateau,four_exp,heavy_noise_plat,inv_sqrt_log,log_oscillatory,log_slow,logistic_tail,mixed_pow_rat,multiphase,noisy_plateau,osc_exp,power_law,random_knots,rational_decay,real_boot_a,real_boot_b,single_exp,slow_osc_power,staircase,stretched_exp,three_exp,two_exp
neville_4,-0.8667,-0.8667,-0.8667,-0.8667,-1.9,-0.8667,-2.0,-0.8667,-0.7333,-0.8667,-0.8667,-1.9222,-1.6222,-0.8667,-0.8667,-0.8667,-0.8444,-1.0,-0.8111,-1.0,-2.0,-0.8667,-0.8667,-0.8556
pade_11,1.4,0.9444,1.3733,1.3867,1.1689,1.2667,1.4,1.2445,-0.7111,1.3378,1.4,1.0044,1.0,1.2667,1.1022,1.4,1.3244,1.4,1.0,0.3444,0.7778,1.3867,1.4,1.3244
pade_12,1.2533,1.1111,1.4,1.3289,0.4867,0.4045,1.3067,1.0888,1.2756,1.3067,1.3155,0.5556,1.24,1.0,0.9778,1.3111,0.9911,1.2356,0.8711,0.1733,1.4,1.3244,1.3556,1.2289
pade_13,1.2533,1.0667,1.3956,1.2267,0.3867,0.3111,1.3111,1.0399,1.3422,1.3067,1.3333,-0.0911,0.1111,0.9778,0.9556,1.3111,0.4889,1.0489,0.8178,0.1733,0.7911,1.1845,1.0711,1.3378
pade_21,-1.0,-1.9556,-2.0,-0.4445,0.9155,-1.9667,-1.0,-2.0,0.9333,-1.6778,-1.3333,0.2933,-1.9444,-1.9778,-1.7334,-0.4133,0.3711,0.1556,0.2667,-2.0,-2.0,-0.5555,0.0311,0.1778
pade_22,1.4,0.9423,-0.0889,1.4,1.16,1.2222,1.4,1.0044,0.2533,1.3867,1.4,0.9644,1.4,0.9667,1.1023,1.4,1.3867,1.4,1.1333,-0.3223,-1.8556,1.3956,1.2667,1.2089
pade_23,1.2533,1.1555,1.4,1.1156,0.5889,0.5378,1.3111,1.0888,1.24,1.3289,1.3333,0.4934,0.9645,1.0578,1.0312,1.3111,0.7599,1.2512,0.9511,0.1733,1.4,1.32,1.3022,1.1934
pade_31,-1.9778,-2.0,-0.5222,-1.0,0.1334,-1.6667,-2.0,-2.0,-1.3222,-2.0,-2.0,-0.4,-1.0,-1.6667,-1.9445,-0.8667,-0.3444,-1.0,-0.5778,-2.0,-1.0,-1.0,-0.3333,-0.3333
pade_32,-1.0,-1.5,-1.9333,-0.1466,0.8578,-1.6667,-1.0,-1.8667,1.1467,-0.6511,-1.6445,0.2445,-1.0333,-1.6222,-1.6889,-0.5111,0.12,0.1844,0.4556,-1.6667,-2.0,-0.2178,0.0889,0.1911
rational_fit,1.4,1.4,1.4,1.4,1.16,1.3645,1.32,1.4,1.2133,1.4,1.4,1.0222,1.24,1.4,1.4,1.4,1.4,1.4,1.1733,1.1067,1.4,1.4,1.4,1.4
richardson_1,-1.0,1.3822,1.4,1.4,1.1777,1.3733,1.4,1.4,1.12,1.3733,1.4,1.2311,1.2844,1.3867,1.3689,1.3911,1.4,1.4,1.1911,0.2889,1.4,1.4,1.4,1.4
richardson_2,-1.0,1.3511,1.4,0.9844,1.0089,1.2978,1.3333,1.3867,1.2,1.3867,1.4,1.0222,1.3911,1.3644,1.3511,1.3867,1.4,1.4,1.2444,0.9778,1.4,1.2111,1.4,1.3956
richardson_3,-1.1111,1.3289,1.3623,0.9845,0.8622,1.1489,1.32,1.3778,1.3244,1.24,1.4,0.5756,1.4,1.3111,1.2333,1.3867,1.4,1.4,1.24,1.0845,1.3623,1.1356,1.3623,1.3956
richardson_a05,1.0,1.4,1.4,1.4,1.1644,1.3778,1.4,1.4,1.4,1.4,1.4,1.0977,1.0,1.4,1.3822,1.4,1.2622,1.4,0.8445,1.0,1.4,1.4,1.4,1.4
richardson_a10,1.0,1.4,1.4,1.4,1.1777,1.4,1.4,1.4,1.4,1.4,1.4,1.1822,1.4,1.4,1.4,1.4,1.4,1.4,1.0,1.4,1.4,1.4,1.4,1.4
richardson_a20,1.0,1.36,1.3333,1.3289,1.2311,1.3289,1.4,1.3422,1.0,1.3422,1.4,1.28,1.4,1.3422,1.3245,1.3867,1.3911,1.3911,1.4,1.3689,1.0,1.3289,1.3289,1.12
shanks_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2623,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.0,1.2845,1.2845,1.2845
shanks_2,1.1778,1.1867,1.1467,1.16,0.9155,1.2178,1.2,1.1867,1.16,1.16,1.0444,0.9245,1.0756,1.2044,1.1955,1.1555,1.1644,1.1555,1.1378,1.0844,1.0,1.1555,1.1555,1.1222
shanks_3,1.1911,1.2044,1.16,1.1733,0.9378,1.2578,1.2044,1.2089,1.14,1.1867,1.0533,0.9111,1.1022,1.24,1.2444,1.1733,1.1867,1.1867,1.1867,1.1156,1.0044,1.1822,1.1778,1.1689
shanks_4,1.1956,1.1956,1.1378,1.1111,0.9779,1.2045,1.2178,1.1956,1.1289,1.1644,1.0444,0.9066,1.1022,1.2178,1.2178,1.1378,1.1689,1.1689,1.1689,1.0978,0.0,1.16,1.16,1.1511
single_exp_fit,1.4,1.3956,1.4,1.4,1.2222,1.3422,1.3111,1.4,1.3467,1.4,1.3956,1.0978,1.4,1.3822,1.3911,1.4,1.4,1.4,1.4,1.3778,1.4,1.4,1.4,1.4
stability_weighted,1.4,1.3911,1.1867,1.28,0.7912,1.3689,1.3867,1.3956,1.1867,1.3867,1.4,0.92,1.0933,1.3822,1.3778,1.3511,1.2578,1.2711,1.2222,1.3244,1.0,1.2756,1.2489,1.2533
window_mean,1.4,1.0,1.0,1.0,1.2533,1.0,1.4,1.0,1.0,1.0,1.0,1.1111,1.0,1.0,1.0,1.0,1.0,1.0,0.8222,1.0,1.0,1.0,1.0,1.0
window_min,1.4,1.1956,1.0489,1.1378,0.2133,1.2178,1.4,1.1867,1.0267,1.1422,1.1689,0.3644,1.2089,1.2133,1.1911,1.1067,1.1689,1.1289,1.1555,1.2178,1.0,1.12,1.1289,1.08
wynn_eps_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2623,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,0.0,1.2845,1.2845,1.2845
wynn_eps_2,1.2178,1.2267,1.2355,1.2178,0.8955,1.2223,1.22,1.2267,1.2089,1.2089,1.2178,1.0711,1.1022,1.2356,1.2178,1.2178,1.2133,1.2178,0.6045,1.1111,0.0,1.2178,1.2222,1.2178
wynn_eps_3,1.2267,1.2267,1.1978,1.2133,1.0245,1.2223,1.1778,1.2267,1.0911,1.2133,1.2267,0.9822,1.24,1.2444,1.2489,1.2089,1.2178,1.1756,0.08,1.1156,0.0,1.2089,1.2089,1.2222
wynn_rho_1,1.2089,1.2267,1.12,1.2045,0.9555,1.2533,1.16,1.2222,1.1156,1.2,1.2089,1.02,1.1067,1.24,1.2178,1.2267,1.0711,1.2089,1.0711,1.2533,0.0,1.2178,1.2089,1.0933
wynn_rho_2,1.2578,1.2489,1.0578,1.2533,0.8022,1.2222,1.2444,1.2711,0.98,1.2533,1.1289,0.8889,1.2489,1.2445,1.2578,1.1955,0.4356,1.2223,1.0533,1.1022,0.0,1.2445,1.2445,1.0422
wynn_rho_3,1.2444,1.2156,1.2067,1.22,0.8689,1.2311,1.0067,1.2222,0.9778,1.2156,1.2489,0.9422,1.0933,1.2223,1.2178,1.1444,1.0845,1.2533,1.08,0.4444,-0.0222,1.1155,1.22,1.2356
